,place,"In this sentence: 'In Iceland, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,45.173,25.582,42.887,31.051,40.046,37.062,39.49,22.611,43.54,25.01,34.609,32.295,37.024,25.337,49.439,29.683,36.178,41.48,41.706,31.383,43.76,30.262,33.156,42.358,35.005,35.992,51.919,39.213,46.138,44.035,45.604,40.81,59.522,37.769,51.838,52.249,49.665,31.243,46.523,31.495,42.064,36.817,35.417,31.861,46.997,27.867,43.51,42.228,37.181,37.599,46.925,36.667,44.834,44.029,34.586,43.243,58.0,40.387,50.281,48.601
1,Yemen,42.348,19.309,40.332,28.001,32.59,31.144,36.219,16.695,44.182,21.518,30.02,29.982,34.027,18.04,44.792,28.362,27.944,35.913,39.32,29.636,43.925,31.054,31.183,38.894,35.732,32.088,47.622,37.589,41.843,36.8,42.409,31.228,57.343,32.684,43.29,48.113,42.515,22.818,43.844,31.363,33.837,32.672,35.06,25.025,46.224,26.546,36.874,38.83,34.647,35.212,48.16,33.861,43.067,39.874,35.922,37.761,58.892,35.579,47.676,41.414
2,Iraq,54.906,31.038,52.496,36.339,41.761,45.026,42.252,29.423,53.864,31.61,37.469,43.497,38.6,29.514,54.403,33.03,37.894,46.071,45.185,42.531,56.506,33.58,42.376,52.323,42.743,39.362,57.23,42.226,47.537,49.413,47.937,48.284,68.763,42.016,51.981,60.819,58.262,41.8,58.957,39.506,47.715,49.677,45.381,39.413,53.918,32.406,45.843,50.11,44.324,48.383,61.124,41.675,51.393,52.96,48.943,49.548,64.807,44.428,53.054,55.858
3,Pakistan,47.654,22.698,46.475,29.691,38.693,40.471,37.526,22.567,48.299,24.87,35.21,33.311,38.862,25.245,49.917,25.801,33.555,42.782,41.777,30.096,47.472,31.614,36.199,47.167,42.242,30.863,53.153,38.489,45.166,46.206,47.311,37.934,58.5,35.643,48.937,54.253,51.705,34.76,48.901,37.462,44.509,46.167,45.161,32.384,48.099,26.008,41.478,47.2,40.613,36.792,49.66,35.891,45.087,48.207,41.269,38.103,57.038,35.322,46.892,47.461
4,Syria,50.393,25.096,42.96,36.08,39.801,39.753,39.714,27.186,52.205,33.763,41.349,43.495,42.567,26.243,50.741,35.656,37.116,42.67,46.562,40.135,51.564,38.774,40.705,45.956,42.511,39.315,57.116,40.937,46.769,45.824,47.554,42.738,62.634,40.625,48.863,52.55,52.116,34.573,54.074,37.427,44.513,43.299,41.811,36.643,52.637,34.112,46.063,47.357,44.808,44.386,56.804,43.789,51.082,49.96,46.426,46.608,62.321,42.553,53.19,50.953
5,Democratic Republic of Congo,32.319,19.615,42.79,21.639,33.041,37.949,28.328,15.268,39.139,18.361,26.323,27.801,21.196,14.361,37.805,18.606,22.64,31.319,24.532,14.186,25.575,17.455,19.685,21.834,16.947,21.125,32.535,22.96,33.085,24.819,26.106,33.039,54.761,32.879,43.763,51.849,42.466,23.064,37.782,23.579,32.527,26.562,24.762,20.885,42.35,20.895,34.257,35.872,27.699,25.77,45.061,24.97,31.027,35.132,28.993,24.945,44.736,26.626,35.466,34.758
6,Iran,35.776,14.21,33.938,20.708,25.801,28.774,30.329,11.822,32.927,16.67,21.58,22.381,27.829,18.608,42.6,24.539,24.042,33.746,36.262,16.016,28.811,17.198,18.315,26.494,22.644,21.121,36.289,25.729,32.778,32.716,33.482,26.008,40.883,26.228,36.667,40.772,37.228,24.825,35.315,24.794,31.865,31.423,33.298,23.506,38.949,22.668,35.972,36.533,33.663,23.802,31.533,26.562,35.038,37.691,26.094,24.765,42.714,28.583,35.51,34.789
7,Mali,26.154,11.725,26.37,18.687,17.701,15.505,23.15,10.123,27.8,11.86,14.853,14.581,17.501,10.942,29.31,17.639,14.232,17.365,21.334,10.78,20.058,16.612,11.896,12.979,13.93,19.366,30.623,25.581,21.97,17.456,30.306,18.607,40.721,23.64,24.654,26.965,32.156,13.682,21.985,13.651,14.567,1.135,14.263,14.125,27.544,16.054,19.686,16.89,19.552,14.819,27.67,21.559,18.179,19.105,17.308,17.842,33.815,27.597,22.648,23.476
8,Chad,17.055,7.394,16.155,8.386,9.095,9.686,8.657,5.783,18.729,5.87,6.856,7.378,8.735,10.125,22.718,9.971,11.243,13.421,15.171,9.55,15.78,8.53,8.204,10.971,7.248,11.419,25.964,10.9,13.951,12.967,14.056,10.535,23.719,10.742,14.354,16.308,15.65,8.93,20.054,9.949,9.892,9.339,13.385,12.495,22.794,9.917,15.244,14.991,16.516,11.237,20.291,9.402,12.939,14.968,11.061,12.19,27.841,14.087,14.717,17.091
9,Saudi Arabia,21.124,12.358,26.886,14.393,20.587,22.078,19.201,6.765,21.568,8.07,11.773,13.337,14.112,11.402,33.42,15.055,18.506,27.897,24.217,9.993,17.573,8.693,10.15,21.134,11.294,15.583,31.602,15.761,26.968,25.806,23.326,24.546,42.692,18.748,32.566,32.826,23.192,18.259,33.764,20.956,29.789,25.861,23.998,15.677,32.486,14.345,27.144,29.6,20.145,15.362,25.497,16.458,28.155,27.371,15.171,19.349,40.183,19.758,30.822,32.17
10,Switzerland,27.486,11.169,23.629,15.52,15.881,15.101,20.218,8.969,23.605,12.467,1.386,10.544,18.223,14.776,29.005,18.16,20.808,15.995,27.743,12.78,19.142,1.153,1.42,11.9,13.412,16.585,26.118,16.352,22.436,20.082,24.896,17.252,31.658,20.436,22.657,24.151,28.312,1.279,24.738,15.737,18.838,14.536,20.162,19.415,30.111,17.924,27.707,18.202,28.62,16.33,25.321,19.503,20.754,19.948,20.126,18.122,32.635,24.252,23.27,23.059
11,Ireland,46.901,20.153,39.014,28.728,28.52,32.848,35.028,1.822,44.376,28.224,2.442,27.436,35.265,23.892,47.529,31.272,28.423,35.589,42.511,25.885,44.544,32.629,27.094,39.709,40.289,2.404,46.786,35.958,36.137,37.229,43.859,24.715,49.263,34.337,28.423,38.631,47.889,2.165,38.715,30.727,26.334,25.51,38.559,30.726,48.425,32.567,40.074,42.317,44.372,22.505,46.708,34.937,33.128,38.766,44.17,2.167,50.835,38.664,31.817,31.121
12,Lithuania,21.692,8.912,19.361,13.332,14.277,16.89,15.038,7.307,21.643,12.129,13.036,13.973,15.445,10.644,24.303,14.081,16.181,19.685,18.066,12.842,20.998,14.082,16.655,17.356,14.882,14.621,24.478,15.739,20.376,21.355,21.519,12.979,25.818,16.894,17.416,24.334,19.554,14.193,23.987,16.276,17.123,21.006,19.605,13.567,23.577,12.626,19.432,21.567,18.662,14.169,21.047,16.546,17.527,21.363,17.063,15.392,27.526,20.43,19.346,20.927
13,Rwanda,28.106,17.575,33.543,23.156,30.719,27.216,28.444,12.064,33.469,14.851,21.693,20.425,21.602,19.38,40.121,23.83,29.712,31.105,0.0,14.165,23.349,16.109,14.568,23.517,15.157,20.519,35.905,27.681,31.579,24.547,31.068,30.895,47.474,27.464,39.102,40.188,37.047,20.304,33.79,20.807,31.082,25.268,23.285,23.254,37.563,23.401,36.096,34.358,0.0,24.972,36.495,27.194,33.243,34.147,21.777,23.521,44.296,30.325,34.623,36.995
14,Namibia,41.87,19.828,41.472,28.373,32.818,33.184,31.411,16.254,42.812,27.094,28.324,28.616,31.608,20.103,43.607,31.088,30.557,38.013,38.23,25.297,39.73,30.517,28.022,32.946,29.673,29.495,47.139,36.444,39.041,41.104,39.892,26.728,51.133,39.293,40.819,47.272,44.746,21.728,39.89,33.792,33.508,29.957,36.092,24.837,43.723,32.061,37.439,40.084,37.469,30.78,46.687,36.704,36.125,39.907,35.264,29.825,50.831,41.626,37.093,40.709
15,Sweden,28.312,7.567,17.405,11.667,13.496,15.431,21.144,6.385,21.959,11.284,13.009,13.943,21.338,11.571,26.998,9.063,18.319,22.512,10.297,9.853,21.343,8.281,9.977,19.477,19.357,12.776,26.84,17.126,20.309,24.445,26.618,10.142,20.68,12.945,18.614,19.064,22.694,15.632,18.598,9.247,18.979,13.781,10.112,14.646,23.623,9.167,23.865,23.841,10.332,15.143,17.281,9.157,19.495,21.699,9.504,20.407,30.492,23.628,23.62,23.037
16,New Zealand,47.379,21.833,41.827,34.998,35.38,32.829,39.75,17.518,41.712,33.224,31.752,30.624,41.099,27.29,45.884,32.561,34.793,38.69,46.065,32.762,45.182,41.087,35.537,40.094,43.706,28.511,45.655,40.458,40.649,38.791,43.476,24.781,48.942,41.632,40.189,42.19,49.345,22.585,41.863,38.146,36.382,33.531,41.252,34.015,45.784,36.007,42.378,42.047,46.742,30.378,48.689,44.21,37.249,41.542,46.817,26.834,51.101,43.406,36.057,31.721
17,Norway,19.153,0.0,13.855,11.371,7.449,10.914,17.917,0.0,14.54,10.288,6.115,7.487,14.882,6.506,18.154,14.378,11.028,16.727,19.287,0.0,14.788,7.359,0.0,13.163,16.005,7.412,14.118,11.795,9.895,17.759,23.153,0.0,15.79,11.234,8.712,14.203,14.857,7.282,14.205,10.405,10.612,11.325,14.083,9.378,17.904,8.636,15.602,17.665,9.788,0.0,10.706,10.519,6.843,10.273,12.136,8.258,17.653,20.985,17.149,13.405
18,Finland,19.666,5.419,15.578,9.568,8.478,13.008,14.475,4.823,16.863,8.519,8.403,10.216,15.47,6.5,19.769,9.752,10.56,16.818,16.681,7.96,14.625,9.885,8.922,12.322,13.403,8.398,16.846,11.546,12.518,15.9,19.999,8.481,18.449,12.127,11.26,16.7,16.795,11.851,17.524,13.209,14.209,13.646,17.018,9.384,17.18,8.434,13.587,16.559,15.463,8.685,13.532,10.714,10.689,13.213,15.169,11.448,20.275,16.656,15.309,17.081
19,Iceland,27.935,11.352,20.121,19.042,17.769,17.672,21.47,8.94,21.835,19.052,14.234,14.102,20.503,18.524,30.717,24.061,22.338,26.819,30.54,15.93,22.346,23.7,16.266,24.557,27.146,14.758,25.348,21.336,20.69,24.661,28.572,13.935,26.272,22.986,16.578,21.942,24.027,14.126,23.607,20.325,16.727,15.362,23.614,22.652,32.025,24.653,28.097,27.934,31.692,14.881,25.324,23.094,16.907,20.006,23.802,14.317,28.722,26.231,21.773,21.827
